+-------+--------+-----------------------------------------------------------------------------------------------------+-------+--------+----------+-------+--------+
| COUNT | METHOD |                                                 URI                                                 |  MIN  |  MAX   |   SUM    |  AVG  |  P99   |
| 1     | GET    | /api/livestream/search?tag=%E3%83%AF%E3%83%BC%E3%82%AF%E3%82%A2%E3%82%A6%E3%83%88                   | 0.584 | 0.584  | 0.584    | 0.584 | 0.584  |
| 1     | GET    | /api/livestream/search?tag=DIY%E9%9B%BB%E5%AD%90%E5%B7%A5%E4%BD%9C                                  | 0.540 | 0.540  | 0.540    | 0.540 | 0.540  |
| 1     | GET    | /api/livestream/search?tag=%E6%A5%BD%E5%99%A8%E6%BC%94%E5%A5%8F                                     | 0.480 | 0.480  | 0.480    | 0.480 | 0.480  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%97                                     | 0.480 | 0.480  | 0.480    | 0.480 | 0.480  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%AC%E3%82%B7%E3%83%94%E7%B4%B9%E4%BB%8B                            | 0.464 | 0.464  | 0.464    | 0.464 | 0.464  |
| 1     | GET    | /api/livestream/search?tag=RPG                                                                      | 0.460 | 0.460  | 0.460    | 0.460 | 0.460  |
| 1     | GET    | /api/livestream/search?tag=%E7%B5%B5%E6%8F%8F%E3%81%8D                                              | 0.456 | 0.456  | 0.456    | 0.456 | 0.456  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%90%E3%82%B9%E3%82%B1%E3%83%83%E3%83%88%E3%83%9C%E3%83%BC%E3%83%AB | 0.448 | 0.448  | 0.448    | 0.448 | 0.448  |
| 1     | GET    | /api/livestream/search?tag=%E7%A7%91%E5%AD%A6                                                       | 0.444 | 0.444  | 0.444    | 0.444 | 0.444  |
| 1     | GET    | /api/livestream/search?tag=%E6%96%B0%E6%83%85%E5%A0%B1%E7%99%BA%E8%A1%A8                            | 0.444 | 0.444  | 0.444    | 0.444 | 0.444  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%AC%E3%83%88%E3%83%AD%E3%82%B2%E3%83%BC%E3%83%A0                   | 0.428 | 0.428  | 0.428    | 0.428 | 0.428  |
| 1     | GET    | /api/livestream/search?tag=%E9%87%A3%E3%82%8A                                                       | 0.412 | 0.412  | 0.412    | 0.412 | 0.412  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%B2%E3%83%BC%E3%83%A0%E5%AE%9F%E6%B3%81                            | 0.408 | 0.408  | 0.408    | 0.408 | 0.408  |
| 1     | GET    | /api/livestream/search?tag=%E9%87%8E%E7%90%83                                                       | 0.408 | 0.408  | 0.408    | 0.408 | 0.408  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%B7%E3%83%B3%E3%82%B0%E3%83%AB%E3%83%97%E3%83%AC%E3%82%A4          | 0.404 | 0.404  | 0.404    | 0.404 | 0.404  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%B2%E3%83%BC%E3%83%A0%E8%A7%A3%E8%AA%AC                            | 0.372 | 0.372  | 0.372    | 0.372 | 0.372  |
| 1     | -      | -                                                                                                   | 0.110 | 0.110  | 0.110    | 0.110 | 0.110  |
| 2     | GET    | /assets/index-55457d82.js                                                                           | 0.000 | 0.031  | 0.031    | 0.015 | 0.031  |
| 9     | GET    | /api/payment                                                                                        | 0.004 | 0.004  | 0.012    | 0.001 | 0.004  |
| 1     | GET    | /assets/FormLabel-c342aa29.js                                                                       | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  |
| 1     | GET    | /api/icon                                                                                           | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  |
| 1     | GET    | //api/icon                                                                                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  |
| 1     | GET    | /                                                                                                   | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  |
| 2     | GET    | /assets/ISUPipe_yoko_color-fc80178e.png                                                             | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  |
| 1     | GET    | /api/v1/timestamp                                                                                   | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  |
| 1     | GET    | /assets/user-04696bae.js                                                                            | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  |
| 2     | GET    | /assets/index-5265c558.css                                                                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  |
| 1     | GET    | /user                                                                                               | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  |
| 3     | GET    | /favicon.ico                                                                                        | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  |
+-------+--------+-----------------------------------------------------------------------------------------------------+-------+--------+----------+-------+--------+
